Task  ,Task Name,Points,Deliverable,Status,Comments
1,"Defining your Problem, Audience, and Scope",2,Write a succinct 1-sentence description of the problem,Completed,
,,5,Write 1-2 paragraphs on why this is a problem for your specific user,Completed,
,,2,Create a list of questions or input-output pairs that you can use to evaluate your application,Completed,
2,Propose a Solution,6,Propose a Solution 1-2 paragraphs,Completed,
,,7,Create an infrastructure diagram of your stack showing how everything fits together. Write one sentence on why you made each tooling choice.,Completed,
,,2,"What are the RAG and agent components of your project, exactly?",Completed,
3,Dealing with the Data,5,"Describe all of your data sources and external APIs, and describe what you’ll use them for.",Completed,
,,5,Describe the default chunking strategy that you will use.  Why did you make this decision?,Completed,
4,Build End-to-End Prototype,15,Build an end-to-end prototype and deploy to local host with a front end (Vercel deployment not required).,Completed,
5,Evals,10,"Assess your pipeline using the RAGAS framework including key metrics faithfulness, response relevance, context precision, and context recall. Provide a table of your output results.",Completed,
,,5,What conclusions can you draw about the performance and effectiveness of your pipeline with this information?,Completed,
6,Improving Your Prototype,2,Choose an advanced retrieval technique that you believe will improve your application’s ability to retrieve the most appropriate context. Write 1-2 sentences on why you believe it will be useful for your use case.,Completed,
,,10,Implement the advanced retrieval technique on your application.,Completed,
,,2,How does the performance compare to your original RAG application? Test the new retrieval pipeline using the RAGAS frameworks to quantify any improvements. Provide results in a table.,Completed,
7,Next Steps,2,Do you plan to keep your RAG implementation via Dense Vector Retrieval for Demo Day? Why or why not?,Completed,
"Final
Submission",Public Github Repo,10,A 5-minute (OR LESS) loom video of a live demo of your application that also describes the use case.,Completed,
,,10,A written document addressing each deliverable and answering each question,Completed,
,,0,All relevant code,Completed,
,,100,,,
